Model,Conservative,Liberal,Independent
gemini-2.5-flash-lite,0.020394913526296743,0.025546039563254852,0.028074546881933338
gemma3_27b,0.0768618962110218,0.03309542149577238,0.061795320320753744
gpt-4o-mini,0.027776937274955338,0.03052963170135725,0.045264011899127876
gpt-5.4-mini,0.06185139406206697,-0.00018504393665197405,0.005830700207740569
llama3.2_3b,0.02970847344579375,-0.03599367658047359,0.11970558337411985
llama4_scout,0.05142019972492973,-0.03752156877258073,0.07247769882407895
phi4-mini,0.019379844961240233,-0.05600258039247308,0.04461131186648826
qwen3_30b,0.0012772807896967997,0.00021280339830653805,0.019962350972599907
qwen3_4b,0.006474535356160271,0.005488184528350093,-0.005197113087504146
r1-1776_latest,0.05691099002083855,-0.019781020804521265,0.1747953140374654
