Model,Model_Display,Mean_Kappa_With_Other_Models,Mean_Raw_Agreement_With_Other_Models,Mean_Disagreement_With_Other_Models,Bias_Prediction_Rate
gemma3_27b,Gemma3 27B,0.28567303822458895,0.7284687165366377,0.27153128346336236,0.21202386415787058
gpt-5.4-mini,GPT-5.4 mini,0.2850618018420701,0.7218397837948091,0.278160216205191,0.2354290959155576
r1-1776_latest,R1-1776,0.28007589481275713,0.6581000458926113,0.3418999541073887,0.45479577787976133
llama4_scout,Llama 4 Scout,0.26487528049046216,0.6965478557952169,0.30345214420478306,0.32124827902707664
gemini-2.5-flash-lite,Gemini 2.5,0.25651291303615575,0.7328540105043088,0.2671459894956912,0.14502065167508033
llama3.2_3b,Llama 3.2 3B,0.2537024593466293,0.6229157105705982,0.37708428942940186,0.5089490592014686
gpt-4o-mini,GPT-4o mini,0.2423510563927661,0.7380551731171281,0.26194482688287185,0.08627810922441487
phi4-mini,Phi-4 mini,0.1502032392067515,0.4416908877670695,0.5583091122329304,0.7595227168425883
qwen3_4b,Qwen3 4B,0.08721570654148716,0.6935903319565551,0.30640966804344505,0.03717301514456173
qwen3_30b,Qwen3 30B,0.08025581991414797,0.6964458722145734,0.30355412778542656,0.023864157870582835
